level,daytype,horizon,n_days,cov_emp,se,cell
0.9,saturday,20,72,0.875,0.03897559777889522,C
0.9,sunday,20,71,0.9154929577464789,0.03300994345777757,C
0.9,weekday,20,357,0.9775910364145658,0.007833491613478237,C
0.9,all,20,500,0.954,0.009368457717255283,C
0.9,saturday,21,72,0.9166666666666666,0.03257233166544049,C
0.9,sunday,21,71,0.9436619718309859,0.027364018409871668,C
0.9,weekday,21,357,0.9831932773109243,0.006803413371659935,C
0.9,all,21,500,0.968,0.007870959280799264,C
0.9,saturday,22,72,0.9444444444444444,0.026995147661320842,C
0.9,sunday,22,71,0.9436619718309859,0.027364018409871668,C
0.9,weekday,22,357,0.9803921568627451,0.007338050868285495,C
0.9,all,22,500,0.97,0.007628892449104264,C
0.9,saturday,23,72,0.9722222222222222,0.019367130243844344,C
0.9,sunday,23,71,0.9436619718309859,0.027364018409871668,C
0.9,weekday,23,357,0.9803921568627451,0.007338050868285495,C
0.9,all,23,500,0.974,0.007116740827092135,C
0.9,saturday,24,72,0.9583333333333334,0.023549756885851616,C
0.9,sunday,24,71,0.9295774647887324,0.030364731614087568,C
0.9,weekday,24,357,0.9663865546218487,0.00953889012622683,C
0.9,all,24,500,0.96,0.008763560920082661,C
0.95,saturday,1,72,0.8055555555555556,0.04664222611020806,C
0.95,sunday,1,71,0.8028169014084507,0.04721868874183584,C
0.95,weekday,1,357,0.8515406162464986,0.018817953993946764,C
0.95,all,1,500,0.838,0.016477621187537962,C
0.95,saturday,2,72,0.8611111111111112,0.04075652051309955,C
0.95,sunday,2,71,0.9154929577464789,0.03300994345777757,C
0.95,weekday,2,357,0.9299719887955182,0.013506310264103033,C
0.95,all,2,500,0.918,0.012269963325128561,C
0.95,saturday,3,72,0.9166666666666666,0.03257233166544049,C
0.95,sunday,3,71,0.9436619718309859,0.027364018409871668,C
0.95,weekday,3,357,0.9439775910364145,0.012171038160689903,C
0.95,all,3,500,0.94,0.010620734437881408,C
0.95,saturday,4,72,0.9583333333333334,0.023549756885851616,C
0.95,sunday,4,71,0.971830985915493,0.019635954637023313,C
0.95,weekday,4,357,0.9523809523809523,0.01127097781740836,C
0.95,all,4,500,0.956,0.009172131704244116,C
0.95,saturday,5,72,0.9027777777777778,0.03491459057638508,C
0.95,sunday,5,71,0.9577464788732394,0.0238741303445037,C
0.95,weekday,5,357,0.9635854341736695,0.009913992208905365,C
0.95,all,5,500,0.954,0.009368457717255283,C
0.95,saturday,6,72,0.8194444444444444,0.04533137969344014,C
0.95,sunday,6,71,0.8450704225352113,0.04294221526646172,C
0.95,weekday,6,357,0.938375350140056,0.012727157534437757,C
0.95,all,6,500,0.908,0.012925633446759966,C
0.95,saturday,7,72,0.625,0.057054433073454806,C
0.95,sunday,7,71,0.647887323943662,0.05668411847740348,C
0.95,weekday,7,357,0.9467787114845938,0.011880448237326443,C
0.95,all,7,500,0.858,0.01560999679692472,C
0.95,saturday,8,72,0.5972222222222222,0.05780088420918413,C
0.95,sunday,8,71,0.5774647887323944,0.05862259412843413,C
0.95,weekday,8,357,0.9607843137254902,0.01027327121559968,C
0.95,all,8,500,0.854,0.015791390059142988,C
0.95,saturday,9,72,0.7916666666666666,0.04786128038920216,C
0.95,sunday,9,71,0.6197183098591549,0.05761302746414258,C
0.95,weekday,9,357,0.9467787114845938,0.011880448237326443,C
0.95,all,9,500,0.878,0.014636666287102402,C
0.95,saturday,10,72,0.8194444444444444,0.04533137969344014,C
0.95,sunday,10,71,0.7323943661971831,0.052540106553156475,C
